epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,299.781,1.58878,1.0048,0.94904,0.68666,0.58727,0.65703,0.28773,2.03955,1.45599,1.24249,0.0006857,0.0006857,0.0006857
116,302.371,1.60435,0.99311,0.96495,0.60664,0.65173,0.61449,0.25828,2.141,1.35221,1.31767,0.00068075,0.00068075,0.00068075
117,304.959,1.58513,1.02415,0.96526,0.6461,0.61686,0.57728,0.2476,2.18055,1.50944,1.30426,0.0006758,0.0006758,0.0006758
118,307.554,1.72048,1.00113,0.90884,0.6188,0.61153,0.6145,0.26827,2.16541,1.6046,1.32594,0.00067085,0.00067085,0.00067085
119,310.164,1.59062,1.00069,0.90844,0.56954,0.55182,0.54903,0.234,2.11996,1.67787,1.29761,0.0006659,0.0006659,0.0006659
120,312.905,1.64302,0.98686,0.94895,0.55437,0.54085,0.51079,0.20234,2.14242,1.7037,1.22227,0.00066095,0.00066095,0.00066095
121,315.49,1.75,1.06004,0.97242,0.63868,0.42632,0.5506,0.23488,2.03655,1.6137,1.19991,0.000656,0.000656,0.000656
122,318.066,1.66488,0.97348,0.89041,0.60533,0.60245,0.56809,0.22505,2.04256,1.42466,1.16062,0.00065105,0.00065105,0.00065105
123,320.688,1.55112,0.97871,0.98076,0.69784,0.60284,0.61299,0.27776,1.97139,1.38257,1.18694,0.0006461,0.0006461,0.0006461
124,323.304,1.57915,0.96734,0.91005,0.57578,0.55593,0.5939,0.27709,1.99464,1.53498,1.18531,0.00064115,0.00064115,0.00064115
125,325.901,1.56315,0.99503,0.95169,0.68297,0.68352,0.663,0.28581,1.91048,1.43327,1.13579,0.0006362,0.0006362,0.0006362
126,328.507,1.55908,0.99268,0.91652,0.65199,0.68865,0.58012,0.24326,1.93629,1.43296,1.13757,0.00063125,0.00063125,0.00063125
127,331.085,1.58295,1.02829,0.96887,0.58542,0.67403,0.57355,0.22977,1.9516,1.42824,1.23968,0.0006263,0.0006263,0.0006263
128,333.676,1.45638,0.90692,0.88462,0.59574,0.55921,0.53934,0.22325,2.05778,1.62136,1.28488,0.00062135,0.00062135,0.00062135
129,336.398,1.62445,0.97186,0.97687,0.55927,0.55373,0.55913,0.22946,2.02129,1.71141,1.23617,0.0006164,0.0006164,0.0006164
130,339.005,1.52472,0.95344,0.91855,0.8644,0.54324,0.63267,0.28224,2.00428,1.48112,1.22967,0.00061145,0.00061145,0.00061145
131,341.596,1.52065,0.92265,0.96614,0.76496,0.55743,0.60275,0.25699,2.04126,1.43612,1.18646,0.0006065,0.0006065,0.0006065
132,344.198,1.53023,0.97718,0.94273,0.62751,0.57905,0.6491,0.27151,2.02091,1.43928,1.22478,0.00060155,0.00060155,0.00060155
133,346.784,1.55439,0.94287,0.93049,0.67589,0.6137,0.58355,0.25502,2.08606,1.48624,1.2546,0.0005966,0.0005966,0.0005966
134,349.389,1.57286,1.00938,0.95637,0.71396,0.60472,0.66995,0.31222,2.00909,1.4649,1.26974,0.00059165,0.00059165,0.00059165
135,351.968,1.54608,0.96782,0.91292,0.61263,0.59691,0.64135,0.30905,1.89878,1.40646,1.16266,0.0005867,0.0005867,0.0005867
136,354.6,1.57129,1.06154,1.0093,0.58809,0.70181,0.61208,0.28074,1.97185,1.42257,1.12547,0.00058175,0.00058175,0.00058175
137,357.185,1.46803,0.90418,0.91603,0.71911,0.67403,0.63801,0.31545,1.97525,1.46689,1.26596,0.0005768,0.0005768,0.0005768
138,359.761,1.5885,0.90035,0.93015,0.72323,0.70817,0.67158,0.30707,2.00644,1.35396,1.2944,0.00057185,0.00057185,0.00057185
139,362.51,1.44265,0.89879,0.93624,0.78362,0.68719,0.70278,0.29191,2.00259,1.39464,1.27771,0.0005669,0.0005669,0.0005669
140,365.159,1.44183,0.90846,0.91216,0.71098,0.71496,0.65124,0.29855,2.00695,1.38676,1.24898,0.00056195,0.00056195,0.00056195
141,367.789,1.43551,0.85292,0.90972,0.6872,0.67858,0.67786,0.29413,2.03407,1.41374,1.30578,0.000557,0.000557,0.000557
142,370.356,1.43348,0.93275,0.95033,0.72588,0.53616,0.61268,0.28265,2.05112,1.46174,1.33474,0.00055205,0.00055205,0.00055205
